Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-11-16,MI 12T PRO CAMBIO DE PANTALLA SERVICE PACK 125 € 50€,125.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-15,"MI 11I REVISAR SI PASA POR GARANTÍA, NOS ENVIA 15€",15.00€,Otros,Xiaomi/Redmi
2023-11-15,IPHONE 6S CAMBIO PUERTO DE CARGA 35€. NO DEJA C 25€,35.00€,Puerto carga/conector,Apple
2023-11-14,note 8t tapa trasera despegada. si es cambio de 29€,29.00€,Tapa trasera,Samsung
2023-11-14,"IPHONE X CAMBIO DE PANTALLA COMPATIBLE 75€, CRI 20€",75.00€,Cambio pantalla,Apple
2023-11-14,REDMI 9T CAMBIO DE PANTALLA COMPATIBLE 55€. 31€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-13,"IPHONE XR CAMBIO PANTALLA COMPATIBLE, 85€ A SIRI 105€",85.00€,Cambio pantalla,Apple
2023-11-13,iphone x CAMBIO DE PANTALLA COMPATIBEL 75€. TA 20€,75.00€,Cambio pantalla,Apple
2023-11-13,"iPhone 11 CAMBIO DE PANTALLA COMPATIBLE, 85€, MA 35€",85.00€,Cambio pantalla,Apple
2023-11-13,"Samsung A21 NO CARGA, LIMPIEZA PUERTO CARGA, 15€, 15€",15.00€,Puerto carga/conector,Samsung
2023-11-13,"A50 LIMPIEZA PUERTO DE CARGA 15€, SI ES MA 68€",15.00€,Puerto carga/conector,Samsung
2023-11-11,IPHONE SE 2020 LIMPIEZA PUERTO DE CARGA 15€. 15€,15.00€,Puerto carga/conector,Apple
2023-11-11,S23 ULTRA CAMBIO DE PANTALLA SERVICE PACK 269€. 31€,269.00€,Cambio pantalla,Samsung
2023-11-11,"SAMSUNG A71 EL TELFONO NO ENCIENDE, LO CONECTAMOS AL 89€",89.00€,Otros,Samsung
2023-11-11,"IPHONE 7 CAMBIO DE BATERÍA COMPATIBLE 35€, CHA 20€",35.00€,Cambio batería,Apple
2023-11-11,iphone 11 CAMBIO DE PANTALLA COMPATIBLE Y CAMARA 1 40€,40.00€,Cambio pantalla,Apple
2023-11-09,A31 CAMBIO DE PANTALLA COMPATIBLE OLED 55€ 31€,55.00€,Cambio pantalla,Samsung
2023-11-09,"reloj oppo no enciende, presupuesto minimo 39€ de 39€",39.00€,Otros,Oppo/Realme
2023-11-09,IPHONE 12 PRO MAX CAMBIO PANTALLA COMPATIBLE 109€ ENTRA 25€,109.00€,Cambio pantalla,Apple
2023-11-08,ipad air 4 mini wifi CAMBIO DE BATERÍA COMPATIBLE 49€. 32€,49.00€,Cambio batería,Otras
2023-11-08,"iPhone 8 Plus CAMBIO DE PANTALLA, 45€ CRISTAL COMPLE 20€",45.00€,Cambio pantalla,Apple
2023-11-08,iphone 13 limpieza altavoz 15€ 15€,15.00€,Limpieza,Apple
2023-11-07,redmi 12c CAMBIO DE PANTALLA COMPATIBLE 55€. 38€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-07,ULEFONE VIENNA CAMBIO DE PANTALLA COMPATIBLE 55€. 34€,55.00€,Cambio pantalla,Otras
2023-11-07,"A54 CAMBIO DE PANTALLA SERVICE PACK, TAPA TR 60€",60.00€,Cambio pantalla,Samsung
2023-11-07,"iPhone 11 pro CAMBIO DE BATERÍA, 55€ 29€",55.00€,Cambio batería,Apple
2023-11-07,ipad a1822 cambio tactil 59€ 50€,59.00€,Otros,Otras
2023-11-06,iphone 6s CAMBIO DE BATERÍA COMPATIBLE 29€. 20€,29.00€,Cambio batería,Apple
2023-11-06,"a50 revisar pantalla, falla tactil 40€",40.00€,Otros,Samsung
2023-11-04,"iPad 9th gen CAMBIO DE PANTALLA 65€, BORDES DEL CHA 44€",65.00€,Cambio pantalla,Otras
2023-11-04,A32 4G CAMBIO DE PANTALLA COMPATIBLE 59€. 33€,59.00€,Cambio pantalla,Samsung
2023-11-04,IPHONE 11 PRO MAX CAMBIO PUERTO DE CARGA 55€. 23€,55.00€,Puerto carga/conector,Apple
2023-11-04,"LG G7 THINQ CAMBIO DE BATERIA 45€, DEJA PAGADO. A 35€",45.00€,Cambio batería,Otras
2023-11-03,HONO X9 CAMBIO DE PANTALLA 59€ 29€,59.00€,Cambio pantalla,Otras
2023-11-03,"IPHONE 8+ CAMBIO DE PANTALLA COMPATIBLE 45€, TIE 20€",45.00€,Cambio pantalla,Apple
2023-11-03,a12 cambio pantalla 55€ 38€,55.00€,Cambio pantalla,Samsung
2023-11-03,"a50 cambio pantalla compatible oled 75€, n 56€",75.00€,Cambio pantalla,Samsung
2023-11-03,"oppo pantalla despegada, sensor de proximidad 25€",25.00€,Otros,Oppo/Realme
2023-11-03,SMASUNG A14 CAMBIO DE MICROFONO FLEX 35€ 35€,35.00€,Otros,Otras
2023-11-02,HUAWEI MATE 20 LITE CAMBIO DE PANTALLA 55€ DETALLE EN EL 31€,55.00€,Cambio pantalla,Huawei/Honor
2023-11-02,"iPhone SE 2020 RECONEXION DE BOTON HOME, 25€, 39€ S 20€",25.00€,Otros,Apple
2023-11-02,redmi 9t CAMBIO DE BATERÍA 45€. TAPA TRASERA H 23€,45.00€,Cambio batería,Xiaomi/Redmi
2023-11-02,ZTE BLADE V770 FRP PRESUPUESTO DE 25 DEVOLVER A ROBERT 25€,25.00€,FRP/desbloqueo,Otras
2023-10-31,"IPHONE 12 se le reinicia, da saltos del 1% al porc 20€",20.00€,Otros,Apple
2023-10-31,iphone 11 CAMBIO DE PANTALLA 85€ DETALLES EN E 20€,85.00€,Cambio pantalla,Apple
2023-10-31,redmi 9 cambio pantalla 45€ 23€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-10-31,"iphone se cambio tapa trasera 75€, bateria en se 99€",75.00€,Cambio batería,Apple
2023-10-31,"IPHONE SE CAMBIO MICROFONO, NO SE LE OYE NADA, HAN 29€",29.00€,Otros,Apple
2023-10-30,redmi 9 cambio pantalla 45€ 23€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-10-30,"Cuentas iCloud Asesoramiento cuentas de icloud, 25€/h 25€",25.00€,Otros,Otras
2023-10-28,"Samsung Galaxy A14 CAMBIO PANTALLA, 55€, PICADOS EN LA PA 30€",55.00€,Cambio pantalla,Samsung
2023-10-28,redmi 9 cambio pantalla 45€ 23€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-10-28,OPPO A54S cambio de pantalla comaptible 55€. 40€,55.00€,Cambio pantalla,Oppo/Realme
2023-10-27,"Samsung A30s Cambio de pantalla, 55€. colocar cris 33€",55.00€,Cambio pantalla,Samsung
2023-10-27,redmi 9t no carga 39€ marco muy golpeado protec 15€,39.00€,Otros,Xiaomi/Redmi
2023-10-27,redmi 9t cambio pantalla 45€ 20.5€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-10-27,redmi 9t boton encendido 29€ marcos golpeados 29€,29.00€,Otros,Xiaomi/Redmi
2023-10-27,"SAMSUNG NOTE 9 CAMBIO DE PANTALLA SERVICE PACK, LIMPIEZ 48€",48.00€,Cambio pantalla,Samsung
2023-10-27,iphone x CAMBIO DE PANTALLA COMPATIBLE 75€. 20€,75.00€,Cambio pantalla,Apple
2023-10-27,y9 primestk-l21 cambio pantalla compatible 59€ tapa ro 34€,59.00€,Cambio pantalla,Otras
